armed,age,gender,signs_of_mental_illness,threat_level,flee,body_camera,y
gun,46.0,M,False,attack,Not fleeing,False,0
knife,31.0,M,False,other,Not fleeing,False,0
other,34.0,M,False,other,Not fleeing,False,0
unarmed,25.0,F,False,other,Not fleeing,False,0
gun,48.0,M,False,attack,Car,False,0
knife,34.0,M,False,attack,Not fleeing,False,0
gun,47.0,F,False,attack,Not fleeing,False,0
gun,44.0,M,False,attack,Not fleeing,False,0
other,36.0,M,False,other,Not fleeing,False,0
other,41.0,M,False,other,Not fleeing,False,0
gun,50.0,M,False,attack,Not fleeing,False,0
knife,45.0,M,False,other,Not fleeing,False,0
gun,29.0,M,False,attack,Not fleeing,False,0
knife,51.0,F,False,attack,Not fleeing,False,0
gun,42.0,M,False,attack,Not fleeing,False,0
gun,38.0,M,False,attack,Car,False,0
gun,44.0,M,False,other,Car,True,0
gun,28.0,M,False,attack,Car,True,0
gun,52.0,M,False,other,Foot,False,0
other,69.0,M,False,other,Not fleeing,False,0
gun,47.0,M,False,other,Not fleeing,False,0
other,19.0,M,False,attack,Car,False,0
gun,42.0,M,True,attack,Not fleeing,False,0
other,45.0,M,False,attack,Not fleeing,False,0
gun,62.0,M,False,attack,Not fleeing,False,0
gun,63.0,M,True,attack,Not fleeing,False,0
other,29.0,M,False,attack,Car,False,0
knife,31.0,M,True,attack,Not fleeing,True,0
other,29.0,M,False,attack,Car,False,0
gun,65.0,M,True,attack,Not fleeing,True,0
knife,59.0,M,False,undetermined,Not fleeing,False,0
unarmed,37.0,M,False,attack,Foot,False,0
gun,45.0,M,False,attack,Not fleeing,False,0
other,26.0,F,False,attack,Not fleeing,False,0
gun,32.0,M,False,attack,Not fleeing,False,0
knife,17.0,M,False,other,Not fleeing,False,0
gun,39.0,M,False,attack,Not fleeing,False,0
other,31.0,M,False,attack,Car,False,0
gun,29.0,M,False,attack,Not fleeing,False,0
gun,38.0,M,False,attack,Car,False,0
other,48.0,M,True,attack,Car,True,0
other,51.0,M,True,other,Not fleeing,False,0
unarmed,41.0,M,False,other,Not fleeing,False,0
other,43.0,M,False,other,Not fleeing,False,0
gun,47.0,M,True,attack,Not fleeing,False,0
gun,23.0,M,True,attack,Not fleeing,False,0
gun,40.0,M,False,attack,Car,False,0
gun,41.0,M,False,attack,Not fleeing,False,0
gun,21.0,M,False,attack,Car,False,0
gun,42.0,F,False,other,Not fleeing,False,0
gun,59.0,M,False,attack,Not fleeing,False,0
gun,24.0,M,False,attack,Not fleeing,False,0
gun,47.0,M,False,attack,Not fleeing,True,0
gun,35.0,M,False,attack,Not fleeing,False,0
other,47.0,M,True,attack,Not fleeing,False,0
gun,46.0,M,True,attack,Not fleeing,False,0
knife,42.0,M,False,attack,Not fleeing,False,0
gun,45.0,M,False,attack,Not fleeing,False,0
knife,32.0,M,True,attack,Not fleeing,False,0
gun,28.0,M,False,other,Other,False,0
gun,49.0,M,False,attack,Not fleeing,False,0
gun,64.0,M,False,attack,Not fleeing,False,0
gun,46.0,M,False,other,Not fleeing,False,0
gun,57.0,M,True,other,Foot,False,0
gun,44.0,M,False,attack,Not fleeing,False,0
gun,38.0,M,False,attack,Car,False,0
other,25.0,M,False,attack,Not fleeing,True,0
gun,22.0,M,False,other,Foot,False,0
gun,52.0,M,False,other,Not fleeing,False,0
gun,28.0,M,False,attack,Car,False,0
other,57.0,F,True,attack,Not fleeing,True,0
gun,31.0,M,False,attack,Not fleeing,False,0
other,52.0,M,False,attack,Not fleeing,False,0
other,50.0,M,False,attack,Car,False,0
knife,48.0,M,False,attack,Not fleeing,False,0
other,35.0,F,False,other,Foot,False,0
gun,28.0,M,False,other,Not fleeing,False,0
gun,51.0,M,False,attack,Not fleeing,False,0
gun,66.0,M,False,attack,Not fleeing,False,0
gun,28.0,M,False,attack,Foot,False,0
gun,34.0,M,False,attack,Not fleeing,False,0
knife,34.0,M,False,attack,Foot,False,0
knife,45.0,M,False,other,Other,False,0
gun,48.0,M,False,attack,Not fleeing,False,0
gun,41.0,M,False,attack,Car,False,0
gun,26.0,M,False,attack,Foot,False,0
other,48.0,M,False,other,Not fleeing,False,0
gun,28.0,M,False,attack,Other,False,0
other,42.0,M,False,attack,Not fleeing,False,0
gun,24.0,M,False,other,Not fleeing,False,0
knife,40.0,M,False,other,Not fleeing,False,0
gun,30.0,M,True,other,Foot,False,0
gun,57.0,M,False,other,Not fleeing,False,0
gun,24.0,M,True,attack,Other,False,0
knife,38.0,M,False,attack,Not fleeing,False,0
gun,28.0,M,False,attack,Other,False,0
gun,49.0,M,False,attack,Foot,False,0
gun,50.0,M,False,attack,Not fleeing,False,0
gun,57.0,M,True,other,Foot,True,0
gun,36.0,M,True,attack,Car,False,0
gun,45.0,M,False,attack,Not fleeing,False,0
gun,58.0,M,False,other,Not fleeing,False,0
gun,52.0,M,False,attack,Car,False,0
gun,25.0,M,False,attack,Car,True,0
knife,49.0,M,True,other,Not fleeing,False,0
other,47.0,M,False,attack,Car,False,0
gun,25.0,M,False,attack,Not fleeing,False,0
unarmed,22.0,M,False,attack,Not fleeing,False,0
knife,30.0,M,False,attack,Car,False,0
other,20.0,M,False,attack,Car,False,0
other,43.0,M,True,other,Not fleeing,True,0
gun,34.0,M,False,attack,Not fleeing,False,0
gun,34.0,M,False,attack,Not fleeing,False,0
gun,32.0,M,False,attack,Foot,False,0
other,17.0,F,True,attack,Not fleeing,True,0
knife,27.0,M,True,attack,Not fleeing,False,0
gun,27.0,M,False,attack,Not fleeing,False,0
knife,55.0,M,False,other,Not fleeing,False,0
gun,35.0,M,False,other,Not fleeing,False,0
other,20.0,F,False,attack,Not fleeing,False,0
other,25.0,M,False,attack,Car,False,0
knife,56.0,M,False,other,Not fleeing,False,0
gun,40.0,F,False,attack,Foot,False,0
gun,26.0,M,False,attack,Car,False,0
gun,35.0,F,True,attack,Not fleeing,False,0
knife,56.0,M,False,other,Not fleeing,False,0
gun,26.0,M,False,attack,Car,False,0
knife,39.0,F,False,other,Not fleeing,False,0
other,27.0,M,True,other,Not fleeing,False,0
